matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
9,0,76561198435703957,team_JusticeForAII,AyB*,25,18,2315,3,0,2,1,4,4,64,2,3,2,2,1939,2315,424,68,1,1,2,0,3,0,89200,0,6600,1487,8,103850,3
9,0,76561198102691612,team_JusticeForAII,TesserACT,18,20,1952,8,0,0,0,5,2,131,1,2,4,4,2217,1952,360,47,0,0,1,0,8,5,95300,0,4800,1136,9,73900,4
9,0,76561198354217874,team_JusticeForAII,JusticeForAII,16,16,1776,5,0,0,0,4,8,27,3,3,9,4,1823,1776,377,72,1,1,0,0,3,2,99200,0,4800,1501,9,74850,5
9,0,76561199096988278,team_JusticeForAII,Eboss,14,19,1719,6,0,0,1,1,10,137,3,6,7,7,2065,1719,390,45,0,0,0,0,6,2,93750,0,4000,1216,8,95350,14
9,0,76561199517832819,team_JusticeForAII,RΛIKU・雷,9,17,1356,6,0,0,0,2,13,241,4,8,7,2,1903,1356,272,44,2,0,0,0,4,1,92200,0,3300,1396,2,78600,2
9,0,76561198261474000,team_Meso,🆁🅰🅸🅳🅴🆁,24,15,1985,5,0,0,1,6,8,55,1,1,7,5,1709,1985,229,46,1,1,1,0,8,6,110250,0,5400,1373,9,79900,7
9,0,76561198018085677,team_Meso,MuHasdas,18,16,2452,8,0,0,2,3,11,360,8,12,8,7,1984,2452,301,50,0,0,1,1,5,3,97750,0,5100,1366,10,79600,11
9,0,76561198276095424,team_Meso,Meso.,17,18,1877,5,0,0,1,3,5,240,3,4,3,3,1902,1877,295,54,0,0,0,0,7,5,89000,0,5700,1094,10,92050,4
9,0,76561199195072889,team_Meso,EmreY,17,17,1999,8,0,0,0,5,3,43,0,0,10,8,1894,1999,503,80,2,0,0,0,2,0,100300,0,6000,1287,9,82900,16
9,0,76561198101734967,team_Meso,🆁🅱🆉,13,16,1634,8,0,0,0,2,6,281,4,6,6,5,1629,1634,316,61,0,0,1,0,2,0,99650,0,3800,1442,2,82850,10
