matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
4,0,76561198354217874,team_Meso,JusticeForAII,20,15,1825,7,0,0,1,3,17,164,6,7,8,7,1609,1825,309,62,3,3,1,0,5,2,102350,0,7500,1472,5,88250,13
4,0,76561198435703957,team_Meso,AyB*,20,16,2345,7,0,0,1,3,8,168,4,4,6,6,1950,2345,297,60,0,0,0,0,5,4,94900,0,5400,1355,9,81850,12
4,0,76561198102691612,team_Meso,TesserACT,18,20,2070,5,0,0,1,3,2,8,1,1,2,1,2023,2070,147,36,1,1,1,0,8,4,91500,0,3000,1191,10,75100,1
4,0,76561198276095424,team_Meso,Meso.,14,18,1785,6,0,0,1,2,8,166,5,8,4,4,2123,1785,330,53,1,1,0,0,4,2,86950,0,4500,1281,8,84500,7
4,0,76561199195072889,team_Meso,EmreY,10,21,1299,7,0,0,0,1,5,0,0,0,13,7,2026,1299,350,40,1,0,0,0,2,1,81850,0,3000,1293,6,86400,9
4,0,76561198018085677,team_RΛIKU雷,MuHasdas,32,14,3397,7,0,1,2,8,14,270,9,13,10,6,1813,3397,327,74,3,0,1,0,7,5,103950,0,7800,1358,10,75000,11
4,0,76561198101734967,team_RΛIKU雷,🆁🅱🆉,17,15,2078,9,0,1,0,3,3,23,2,2,4,3,1742,2078,385,65,1,0,1,1,2,1,97550,0,4500,1325,5,86800,4
4,0,76561198261474000,team_RΛIKU雷,🆁🅰🅸🅳🅴🆁,16,17,1553,5,0,0,0,4,5,7,1,1,17,8,1779,1553,192,47,1,0,0,0,11,4,93600,0,4600,1059,8,85900,12
4,0,76561199517832819,team_RΛIKU雷,RΛIKU・雷,15,18,1487,5,0,0,0,4,13,308,9,11,10,8,1872,1487,253,58,0,0,0,0,1,0,88700,0,5400,1216,4,86400,11
4,0,76561199096988278,team_RΛIKU雷,Eboss,7,18,1216,5,0,0,0,0,5,77,2,4,9,7,2118,1216,331,35,0,0,0,0,3,1,86750,0,2100,1030,3,101450,13
