matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
11,0,76561198102691612,team_JusticeForAII,TesserACT,18,14,1714,3,0,1,2,0,3,8,1,1,1,1,1618,1714,86,22,0,0,0,0,11,6,96000,0,2400,893,6,66700,1
11,0,76561198435703957,team_JusticeForAII,AyB*,18,13,1901,5,0,0,2,0,7,20,1,3,2,1,1583,1901,225,46,0,0,1,0,4,3,106800,0,3700,1200,6,83950,1
11,0,76561198354217874,team_JusticeForAII,JusticeForAII,17,14,1953,2,0,0,0,4,14,164,5,7,10,4,1520,1953,238,49,0,0,0,0,4,2,94500,0,4000,1210,5,70650,7
11,0,76561199096988278,team_JusticeForAII,Eboss,15,18,1943,7,0,1,1,1,9,27,3,4,9,5,1920,1943,296,50,0,0,0,0,3,1,88800,0,4400,964,8,84750,6
11,0,76561199517832819,team_JusticeForAII,RΛIKU・雷,15,12,1591,4,0,0,0,3,13,248,3,3,14,11,1555,1591,190,47,1,1,3,0,0,0,99800,0,4500,1502,5,86550,15
11,0,76561198276095424,team_Meso,Meso.,22,15,1998,3,1,0,0,5,5,186,4,10,4,4,1718,1998,339,70,1,0,0,0,1,0,78250,0,7500,1265,9,80000,9
11,0,76561198018085677,team_Meso,MuHasdas,15,17,1934,4,0,0,1,3,7,195,4,9,7,7,1741,1934,265,69,0,0,0,0,6,5,89100,0,4100,1069,7,59450,14
11,0,76561199195072889,team_Meso,EmreY,15,17,1844,6,0,0,2,3,2,80,2,4,8,5,1848,1844,283,55,0,0,2,0,1,0,71250,0,4800,928,7,76200,9
11,0,76561198261474000,team_Meso,🆁🅰🅸🅳🅴🆁,13,18,1723,8,0,0,0,2,2,1,1,1,7,4,2054,1723,147,43,0,0,0,0,11,5,71550,0,3900,845,6,70400,5
11,0,76561198101734967,team_Meso,🆁🅱🆉,5,16,697,2,0,0,0,0,2,107,2,5,4,4,1741,697,140,19,0,0,0,0,3,0,76650,0,1500,1240,1,64250,6
