matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
3,0,76561198435703957,team_AyB,AyB*,22,17,2053,6,0,1,1,4,3,21,1,1,3,1,1822,2053,357,77,1,0,2,0,4,3,82700,0,6200,1240,7,82300,2
3,0,76561198276095424,team_AyB,Meso.,21,19,2083,0,0,0,2,5,4,56,4,7,3,3,1937,2083,243,56,1,0,0,0,9,5,81100,0,6300,884,10,83100,5
3,0,76561198354217874,team_AyB,JusticeForAII,12,18,1755,10,0,0,0,3,9,207,4,6,8,7,1952,1755,245,64,0,0,1,0,5,2,89350,0,3900,1094,1,72500,13
3,0,76561198102691612,team_AyB,TesserACT,10,18,1192,7,0,0,0,1,1,0,0,0,3,3,1915,1192,168,33,0,0,0,0,3,1,84550,0,2700,1006,2,65850,4
3,0,76561199195072889,team_AyB,EmreY,7,17,1335,11,0,0,0,2,4,63,2,2,20,10,1737,1335,297,41,0,0,0,0,1,0,76700,0,2400,1277,5,72400,22
3,0,76561198018085677,team_Eboss,MuHasdas,33,10,2750,3,0,0,2,11,11,60,4,6,10,8,1488,2750,342,79,1,1,1,0,4,3,106200,0,7800,1339,15,70100,14
3,0,76561199096988278,team_Eboss,Eboss,19,16,1856,6,0,1,0,3,6,51,3,3,8,5,1882,1856,455,44,0,0,1,0,10,7,84150,0,5700,1053,13,81450,5
3,0,76561199517832819,team_Eboss,RΛIKU・雷,14,18,1667,6,0,0,1,2,14,268,7,8,12,9,1826,1667,250,63,0,0,1,0,6,1,80550,0,4800,935,5,72100,12
3,0,76561198101734967,team_Eboss,🆁🅱🆉,13,13,1642,7,0,0,1,1,5,133,3,4,6,3,1576,1642,392,51,1,1,1,0,1,0,86450,0,3700,1258,8,74850,4
3,0,76561198261474000,team_Eboss,🆁🅰🅸🅳🅴🆁,10,15,1448,9,0,0,0,2,14,40,4,4,18,10,1646,1448,276,48,0,0,0,0,1,0,87600,0,3000,1025,6,69950,16
