matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
5,0,76561198354217874,Team Ayb,JusticeForAII,22,18,2225,2,0,0,0,5,15,75,1,1,4,2,1900,2225,331,84,0,0,3,0,3,2,90900,0,7200,1307,6,76500,3
5,0,76561198435703957,Team Ayb,AyB*,22,16,2235,6,0,1,1,4,4,61,2,2,2,2,1685,2235,280,64,2,2,0,0,6,2,101600,0,5500,1313,7,95900,3
5,0,76561198102691612,Team Ayb,TesserACT,16,21,1741,4,0,0,0,4,1,3,1,1,11,9,2204,1741,210,49,0,0,1,0,7,4,90250,0,3400,1016,5,79600,12
5,0,76561198276095424,Team Ayb,Meso.,12,18,1711,8,0,0,0,2,7,124,5,6,4,4,1906,1711,247,57,1,1,1,0,7,2,86100,0,3900,1244,6,89750,7
5,0,76561199195072889,Team Ayb,EmreY,7,20,1452,8,0,0,0,1,2,8,0,0,23,15,2031,1452,304,60,0,0,2,0,0,0,87200,0,2400,1134,6,80000,25
5,0,76561198261474000,Team MuHasdas,🆁🅰🅸🅳🅴🆁,23,15,2464,8,0,0,1,5,9,28,2,3,16,8,1846,2464,300,70,0,0,1,0,7,4,101500,0,6200,1099,9,81250,11
5,0,76561198018085677,Team MuHasdas,MuHasdas,21,13,1866,2,0,0,1,4,14,175,8,11,13,10,1628,1866,272,47,0,0,0,0,3,2,105350,0,5300,1192,1,78700,16
5,0,76561199517832819,Team MuHasdas,RΛIKU・雷,19,17,1924,6,0,0,0,4,11,264,4,6,8,4,2047,1924,299,64,2,0,0,0,4,3,89400,0,6000,1258,3,79650,7
5,0,76561199096988278,Team MuHasdas,Eboss,16,18,1678,4,0,0,3,0,5,114,1,3,3,3,1993,1678,277,48,1,0,0,0,3,2,87450,0,4900,1156,8,77950,4
5,0,76561198101734967,Team MuHasdas,🆁🅱🆉,14,16,1794,9,0,0,0,3,9,267,6,10,6,2,1850,1794,282,56,0,0,1,0,6,2,93250,0,4200,1200,5,77550,2
